Team: 16
[+] Displaying team progression
+-----------------------------------------+--------+----------------------------+
| Flag                                    | isDone | Submit timestamp           |
+-----------------------------------------+--------+----------------------------+
| golgoth_luhn                            |  True  | 2016-11-04 16:33:12.443702 |
| golgoth_easy                            |  True  | 2016-11-04 17:21:14.278163 |
| golgoth_caes                            |  True  | 2016-11-04 18:05:53.819875 |
| golgoth_hash2                           |  True  | 2016-11-04 18:19:20.714392 |
| golgoth_hash1                           |  True  | 2016-11-04 18:24:09.580009 |
| golgoth_esrom                           |  True  | 2016-11-04 18:56:00.256833 |
| sgduo1                                  |  True  | 2016-11-04 19:13:45.920657 |
| sgduo2                                  |  True  | 2016-11-04 19:14:35.664459 |
| sgduo3                                  |  True  | 2016-11-04 19:15:27.148539 |
| sgtres1                                 |  True  | 2016-11-04 19:28:15.755426 |
| sgquattuor1                             |  True  | 2016-11-04 20:42:38.715065 |
| sgquattuor2                             |  True  | 2016-11-04 20:49:19.407255 |
| sgquattuor3                             |  True  | 2016-11-04 20:50:48.136679 |
| sgquattuor4                             |  True  | 2016-11-04 20:52:50.077889 |
| sgquattuor5                             |  True  | 2016-11-04 20:53:22.775769 |
| sgtres2                                 |  True  | 2016-11-04 20:54:54.642740 |
| sgtres3                                 |  True  | 2016-11-04 20:55:14.375007 |
| sgtres5                                 |  True  | 2016-11-04 20:55:19.735787 |
| sgtres4                                 |  True  | 2016-11-04 20:55:25.006948 |
| sgduo4                                  |  True  | 2016-11-04 20:56:33.158044 |
| sgduo5                                  |  True  | 2016-11-04 20:57:25.087856 |
| sgquinque1                              |  True  | 2016-11-04 20:59:48.790109 |
| sgquinque2                              |  True  | 2016-11-04 21:03:34.398008 |
| sgquinque3                              |  True  | 2016-11-04 21:03:41.009414 |
| sgquinque4                              |  True  | 2016-11-04 21:04:04.806850 |
| sgquinque5                              |  True  | 2016-11-04 21:08:51.487191 |
| anterak_xeger                           |  True  | 2016-11-04 21:38:00.521273 |
| anterak-htam1                           |  True  | 2016-11-04 21:57:51.484899 |
| golgoth_b36                             |  True  | 2016-11-04 23:36:02.885311 |
| board7                                  |  True  | 2016-11-05 00:04:35.379448 |
| anterak-htam2                           |  True  | 2016-11-05 00:07:13.235713 |
| monstrogoth_tar                         |  True  | 2016-11-05 00:34:43.999436 |
| sgsex1                                  |  True  | 2016-11-05 00:56:14.174286 |
| sgsex2                                  |  True  | 2016-11-05 01:00:02.689947 |
| sgsex3                                  |  True  | 2016-11-05 01:00:11.724375 |
| sgsex5                                  |  True  | 2016-11-05 01:00:41.327489 |
| sgsex4                                  |  True  | 2016-11-05 01:00:45.952649 |
| sgseptem1                               |  True  | 2016-11-05 01:08:11.717942 |
| sgseptem2                               |  True  | 2016-11-05 01:09:32.725666 |
| sgseptem3                               |  True  | 2016-11-05 01:10:01.198067 |
| sgseptem4                               |  True  | 2016-11-05 01:10:10.490062 |
