Team: 27
[+] Displaying team progression
+-----------------------------------------+--------+----------------------------+
| Flag                                    | isDone | Submit timestamp           |
+-----------------------------------------+--------+----------------------------+
| board7                                  |  True  | 2016-11-04 17:21:21.445747 |
| expl1                                   |  True  | 2016-11-04 17:34:45.485908 |
| sgunum1                                 |  True  | 2016-11-04 18:24:06.851497 |
| sgunum2                                 |  True  | 2016-11-04 18:44:33.482685 |
| sgunum3                                 |  True  | 2016-11-04 18:44:35.522990 |
| sgduo1                                  |  True  | 2016-11-04 18:58:09.727006 |
| sgduo2                                  |  True  | 2016-11-04 19:02:48.754972 |
| sgduo3                                  |  True  | 2016-11-04 19:11:35.686516 |
| sgtres1                                 |  True  | 2016-11-04 19:23:01.953944 |
| sgquattuor1                             |  True  | 2016-11-04 19:39:31.118101 |
| expl2                                   |  True  | 2016-11-04 21:09:37.072554 |
| golgoth_easy                            |  True  | 2016-11-04 21:44:27.706255 |
| board1                                  |  True  | 2016-11-04 21:53:13.223357 |
| golgoth_caes                            |  True  | 2016-11-04 22:13:31.095110 |
| monstrogoth_tar                         |  True  | 2016-11-04 22:45:44.290497 |
| monstrogoth_tsoh                        |  True  | 2016-11-04 23:49:41.325548 |
| sgquinque1                              |  True  | 2016-11-04 23:59:05.145214 |
| sgsex1                                  |  True  | 2016-11-05 00:04:12.102453 |
| sg_web                                  |  True  | 2016-11-05 00:26:06.395295 |
| sgsex2                                  |  True  | 2016-11-05 00:27:55.930004 |
| sgsex3                                  |  True  | 2016-11-05 00:38:49.860546 |
| sgduo4                                  |  True  | 2016-11-05 00:38:49.972439 |
| sgduo5                                  |  True  | 2016-11-05 00:41:32.225706 |
| sgtres2                                 |  True  | 2016-11-05 00:52:41.906747 |
| sgtres3                                 |  True  | 2016-11-05 00:55:37.204876 |
| monstrogoth_dap                         |  True  | 2016-11-05 01:10:20.373881 |
| sgseptem1                               |  True  | 2016-11-05 01:17:09.512900 |
| sgtres4                                 |  True  | 2016-11-05 01:33:34.623079 |
| sgseptem2                               |  True  | 2016-11-05 01:36:18.925265 |
| sgquinque2                              |  True  | 2016-11-05 01:37:38.790788 |
| sgquinque3                              |  True  | 2016-11-05 01:38:52.798388 |
| sgquinque4                              |  True  | 2016-11-05 01:39:41.056820 |
| sgquinque5                              |  True  | 2016-11-05 01:41:12.451340 |
| sgseptem3                               |  True  | 2016-11-05 01:41:13.546103 |
| sgseptem4                               |  True  | 2016-11-05 01:42:45.676563 |
| golgoth_esrom                           |  True  | 2016-11-05 01:45:23.001568 |
| sgseptem5                               |  True  | 2016-11-05 01:45:28.625557 |
| sg_abydos                               |  True  | 2016-11-05 01:58:16.755088 |
| Bug Bounty2016-11-04 18:37:23.180772-04 | False  | None                       |
| Bug Bounty2016-11-04 18:54:56.517939-04 | False  | None                       |
| Bug Bounty2016-11-04 19:17:06.326497-04 | False  | None                       |
| Bug Bounty2016-11-05 01:18:09.126406-04 | False  | None                       |
| anterak-doll                            | False  | None                       |
| anterak-htam1                           | False  | None                       |
| anterak-htam2                           | False  | None                       |
| anterak_xeger                           | False  | None                       |
| board10                                 | False  | None                       |
| board11                                 | False  | None                       |
| board2                                  | False  | None                       |
| board3                                  | False  | None                       |
| board4                                  | False  | None                       |
| board5                                  | False  | None                       |
| board6                                  | False  | None                       |
| board8                                  | False  | None                       |
| board9                                  | False  | None                       |
| bsg0                                    | False  | None                       |
| bsg1                                    | False  | None                       |
| bsg2                                    | False  | None                       |
| bsg3                                    | False  | None                       |
| cash01                                  | False  | None                       |
| cash02                                  | False  | None                       |
