Team: 9
[+] Displaying team progression
+-----------------------------------------+--------+----------------------------+
| Flag                                    | isDone | Submit timestamp           |
+-----------------------------------------+--------+----------------------------+
| etv02                                   |  True  | 2016-11-04 17:20:29.977466 |
| sg_rtfm                                 |  True  | 2016-11-04 18:47:01.414809 |
| sg_story                                |  True  | 2016-11-04 18:49:01.153179 |
| sg_web                                  |  True  | 2016-11-04 18:50:59.859411 |
| com1                                    |  True  | 2016-11-04 20:16:21.831669 |
| com2                                    |  True  | 2016-11-04 21:16:59.941855 |
| golgoth_easy                            |  True  | 2016-11-04 21:27:15.165933 |
| com3                                    |  True  | 2016-11-04 21:53:20.450165 |
| sgunum1                                 |  True  | 2016-11-04 22:36:27.063559 |
| com4                                    |  True  | 2016-11-04 23:06:19.327670 |
| expl1                                   |  True  | 2016-11-04 23:08:49.864917 |
| cash11                                  |  True  | 2016-11-04 23:09:33.319627 |
| sgduo1                                  |  True  | 2016-11-04 23:27:26.059326 |
| sgunum3                                 |  True  | 2016-11-04 23:33:25.987905 |
| sgunum2                                 |  True  | 2016-11-04 23:36:42.624068 |
| shunum4                                 |  True  | 2016-11-04 23:38:54.602210 |
| sgunum5                                 |  True  | 2016-11-04 23:40:56.137205 |
| sgduo2                                  |  True  | 2016-11-04 23:42:56.290211 |
| sgduo3                                  |  True  | 2016-11-04 23:44:05.869673 |
| sgduo4                                  |  True  | 2016-11-04 23:44:54.367522 |
| sgduo5                                  |  True  | 2016-11-04 23:45:38.743421 |
| sgtres1                                 |  True  | 2016-11-05 00:33:44.216988 |
| sgtres2                                 |  True  | 2016-11-05 00:34:40.244708 |
| sgtres3                                 |  True  | 2016-11-05 00:35:38.691038 |
| sgtres4                                 |  True  | 2016-11-05 00:36:16.745889 |
| sgtres5                                 |  True  | 2016-11-05 00:37:10.035513 |
| sgquattuor2                             |  True  | 2016-11-05 01:07:52.967789 |
| sgquattuor3                             |  True  | 2016-11-05 01:09:16.272587 |
| sgquattuor1                             |  True  | 2016-11-05 01:09:45.636778 |
| sgquattuor4                             |  True  | 2016-11-05 01:10:41.798578 |
| sgquattuor5                             |  True  | 2016-11-05 01:11:37.648708 |
| sgquinque1                              |  True  | 2016-11-05 01:14:03.552826 |
| sgquinque2                              |  True  | 2016-11-05 01:15:00.952933 |
| sgquinque3                              |  True  | 2016-11-05 01:15:46.829282 |
| sgquinque4                              |  True  | 2016-11-05 01:16:39.861747 |
| sgquinque5                              |  True  | 2016-11-05 01:17:35.945130 |
