Team: 6
[+] Displaying team progression
+-----------------------------------------+--------+----------------------------+
| Flag                                    | isDone | Submit timestamp           |
+-----------------------------------------+--------+----------------------------+
| monstrogoth_tsoh                        |  True  | 2016-11-04 17:14:08.249917 |
| eps1                                    |  True  | 2016-11-04 17:16:08.623791 |
| sgunum1                                 |  True  | 2016-11-04 18:37:40.652908 |
| sgduo1                                  |  True  | 2016-11-04 18:55:46.131105 |
| sgunum2                                 |  True  | 2016-11-04 19:09:59.029586 |
| monstrogoth_tar                         |  True  | 2016-11-04 20:58:56.620605 |
| sgtres1                                 |  True  | 2016-11-04 21:29:49.573808 |
| sg_story                                |  True  | 2016-11-04 22:23:30.414339 |
| sgtres2                                 |  True  | 2016-11-04 23:54:59.248564 |
| sgtres3                                 |  True  | 2016-11-04 23:58:38.114799 |
| sgtres4                                 |  True  | 2016-11-05 00:03:34.229347 |
| sgduo2                                  |  True  | 2016-11-05 00:07:19.131159 |
| sgquattuor1                             |  True  | 2016-11-05 00:15:20.446345 |
| sgquattuor2                             |  True  | 2016-11-05 00:18:56.318802 |
| sgunum3                                 |  True  | 2016-11-05 00:23:28.132388 |
| sgquattuor3                             |  True  | 2016-11-05 00:27:34.739964 |
| sgquinque1                              |  True  | 2016-11-05 00:34:32.657438 |
| sgquinque2                              |  True  | 2016-11-05 00:37:49.529613 |
| sgquinque3                              |  True  | 2016-11-05 00:43:24.408461 |
| sgduo3                                  |  True  | 2016-11-05 00:45:14.392954 |
| sgduo4                                  |  True  | 2016-11-05 00:47:36.420876 |
| eps2                                    |  True  | 2016-11-05 00:58:00.382298 |
| sgsex1                                  |  True  | 2016-11-05 01:34:40.147532 |
| sgsex2                                  |  True  | 2016-11-05 01:39:14.821676 |
| sgseptem1                               |  True  | 2016-11-05 01:42:46.274082 |
| eps3                                    |  True  | 2016-11-05 01:43:50.249434 |
| sgseptem2                               |  True  | 2016-11-05 01:45:34.746178 |
| sgsex3                                  |  True  | 2016-11-05 01:54:43.154406 |
| Bug Bounty2016-11-04 18:37:23.180772-04 | False  | None                       |
| Bug Bounty2016-11-04 18:54:56.517939-04 | False  | None                       |
| Bug Bounty2016-11-04 19:17:06.326497-04 | False  | None                       |
| Bug Bounty2016-11-05 01:18:09.126406-04 | False  | None                       |
| anterak-doll                            | False  | None                       |
| anterak-htam1                           | False  | None                       |
| anterak-htam2                           | False  | None                       |
| anterak_xeger                           | False  | None                       |
| board1                                  | False  | None                       |
| board10                                 | False  | None                       |
| board11                                 | False  | None                       |
| board2                                  | False  | None                       |
| board3                                  | False  | None                       |
| board4                                  | False  | None                       |
